Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90
1212,Filip Jagiełło,pl POL,MF,Genoa,it Serie A,25.0,1997.0,2,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1213,Kristijan Jakić,hr CRO,MF,Augsburg,de Bundesliga,26.0,1997.0,14,13,1051,11.7,2,1,3,2,0,0,4,0,0.8,0.8,0.3,1.0,11.0,56.0,10.0,0.17,0.09,0.26,0.17,0.26,0.07,0.02,0.09,0.07,0.09
1214,Kristijan Jakić,hr CRO,"MF,FW",Eint Frankfurt,de Bundesliga,26.0,1997.0,4,1,200,2.2,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,3.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.1,0.02,0.1
1215,Ismail Jakobs,sn SEN,DF,Monaco,fr Ligue 1,23.0,1999.0,22,16,1466,16.3,1,2,3,1,0,0,0,0,1.3,1.3,1.8,3.1,44.0,56.0,133.0,0.06,0.12,0.18,0.06,0.18,0.08,0.11,0.19,0.08,0.19
1217,Reece James,eng ENG,DF,Chelsea,eng Premier League,23.0,1999.0,10,5,419,4.7,0,2,2,0,0,0,2,2,0.3,0.3,1.7,2.1,19.0,21.0,35.0,0.0,0.43,0.43,0.0,0.43,0.07,0.37,0.44,0.07,0.44
1219,Jakub Jankto,cz CZE,"MF,FW",Cagliari,it Serie A,27.0,1996.0,18,13,872,9.7,1,2,3,1,0,0,0,0,1.5,1.5,0.5,1.9,12.0,26.0,48.0,0.1,0.21,0.31,0.1,0.31,0.16,0.05,0.21,0.15,0.2
1220,Tony Jantschke,de GER,"DF,MF",Gladbach,de Bundesliga,33.0,1990.0,4,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1221,Adnan Januzaj,be BEL,"FW,MF",Sevilla,es La Liga,28.0,1995.0,8,0,193,2.1,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6,1.0,9.0,17.0,0.0,0.0,0.0,0.0,0.0,0.28,0.02,0.3,0.28,0.3
1222,Nuha Jatta,gm GAM,FW,RB Leipzig,de Bundesliga,17.0,2006.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1223,Mikel Jauregizar,es ESP,MF,Athletic Club,es La Liga,19.0,2003.0,7,1,151,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.1,0.02,0.1
1225,Danley Jean-Jacques,ht HAI,MF,Metz,fr Ligue 1,23.0,2000.0,33,30,2682,29.8,0,0,0,0,0,0,5,0,2.9,2.9,0.6,3.5,35.0,84.0,53.0,0.0,0.0,0.0,0.0,0.0,0.1,0.02,0.12,0.1,0.12
1226,Salim El Jebari,ma MAR,MF,Atlético Madrid,es La Liga,19.0,2004.0,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1227,Daniel Jebbison,eng ENG,FW,Sheffield Utd,eng Premier League,19.0,2003.0,1,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1228,Jeffinho,br BRA,"FW,MF",Lyon,fr Ligue 1,23.0,1999.0,10,3,308,3.4,1,1,2,1,0,0,0,0,1.0,1.0,0.6,1.6,15.0,14.0,36.0,0.29,0.29,0.58,0.29,0.58,0.3,0.18,0.48,0.3,0.48
1231,Moritz Jenz,de GER,DF,Wolfsburg,de Bundesliga,24.0,1999.0,22,21,1742,19.4,0,1,1,0,0,0,7,1,0.3,0.3,0.3,0.6,2.0,47.0,4.0,0.0,0.05,0.05,0.0,0.05,0.02,0.01,0.03,0.02,0.03
1233,Juan Jesus,br BRA,DF,Napoli,it Serie A,32.0,1991.0,24,23,2116,23.5,1,0,1,1,0,0,7,0,1.3,1.3,0.3,1.6,6.0,82.0,2.0,0.04,0.0,0.04,0.04,0.04,0.06,0.01,0.07,0.06,0.07
1234,Alejandro Jiménez,es ESP,DF,Milan,it Serie A,18.0,2005.0,3,0,68,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07
1237,Joelinton,br BRA,"MF,FW",Newcastle Utd,eng Premier League,26.0,1996.0,20,15,1279,14.2,2,1,3,2,0,0,6,0,3.1,3.1,2.8,5.9,29.0,56.0,60.0,0.14,0.07,0.21,0.14,0.21,0.22,0.2,0.41,0.22,0.41
1238,Ryan John Giles,eng ENG,"DF,MF",Luton Town,eng Premier League,23.0,2000.0,11,5,503,5.6,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,9.0,17.0,30.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06
1239,Ben Johnson,eng ENG,"DF,FW",West Ham,eng Premier League,23.0,2000.0,14,4,544,6.0,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,17.0,22.0,33.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03
1241,Brennan Johnson,wls WAL,"FW,MF",Nott'ham Forest,eng Premier League,22.0,2001.0,3,3,237,2.6,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,8.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.12,0.08,0.21,0.12,0.21
1242,Joseph Johnson,eng ENG,DF,Luton Town,eng Premier League,17.0,2006.0,2,0,77,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1243,Sam Johnstone,eng ENG,GK,Crystal Palace,eng Premier League,30.0,1993.0,20,20,1796,20.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1244,Curtis Jones,eng ENG,MF,Liverpool,eng Premier League,22.0,2001.0,23,14,1167,13.0,1,1,2,1,0,0,3,1,2.6,2.6,0.7,3.3,31.0,74.0,88.0,0.08,0.08,0.15,0.08,0.15,0.2,0.05,0.25,0.2,0.25
1245,Frenkie de Jong,nl NED,MF,Barcelona,es La Liga,26.0,1997.0,20,20,1634,18.2,2,0,2,2,0,0,7,0,0.7,0.7,2.2,2.9,69.0,168.0,38.0,0.11,0.0,0.11,0.11,0.11,0.04,0.12,0.16,0.04,0.16
1246,Joan Jordán,es ESP,MF,Sevilla,es La Liga,29.0,1994.0,8,4,380,4.2,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05
1247,Jordi,es ESP,"MF,DF",Getafe,es La Liga,22.0,2001.0,13,5,573,6.4,0,0,0,0,0,0,1,0,1.3,1.3,0.6,1.8,6.0,14.0,28.0,0.0,0.0,0.0,0.0,0.0,0.2,0.09,0.28,0.2,0.28
1248,Jeremy Jorge,es ESP,FW,Getafe,es La Liga,20.0,2003.0,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1250,Jorginho,it ITA,MF,Arsenal,eng Premier League,31.0,1991.0,24,10,921,10.2,0,2,2,0,0,0,1,0,0.1,0.1,1.4,1.5,8.0,101.0,8.0,0.0,0.2,0.2,0.0,0.2,0.01,0.13,0.14,0.01,0.14
1254,Antoine Joujou,fr FRA,"FW,MF",Le Havre,fr Ligue 1,20.0,2003.0,23,6,779,8.7,0,2,2,0,0,0,1,0,1.1,1.1,0.6,1.8,35.0,22.0,82.0,0.0,0.23,0.23,0.0,0.23,0.13,0.07,0.2,0.13,0.2
1256,Kamil Jóźwiak,pl POL,MF,Granada,es La Liga,25.0,1998.0,11,7,571,6.3,0,1,1,0,0,0,2,0,0.1,0.1,1.2,1.3,15.0,21.0,31.0,0.0,0.16,0.16,0.0,0.16,0.02,0.19,0.21,0.02,0.21
1257,Juanmi,es ESP,FW,Cádiz,es La Liga,30.0,1993.0,16,9,873,9.7,3,1,4,3,0,0,3,0,2.5,2.5,1.6,4.2,7.0,12.0,40.0,0.31,0.1,0.41,0.31,0.41,0.26,0.17,0.43,0.26,0.43
1258,Juanpe,es ESP,DF,Girona,es La Liga,32.0,1991.0,17,6,746,8.3,0,0,0,0,0,0,4,0,0.2,0.2,0.0,0.2,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
1259,Mads Juel Andersen,dk DEN,DF,Luton Town,eng Premier League,25.0,1997.0,8,4,400,4.4,1,0,1,1,0,0,1,0,0.3,0.3,0.0,0.3,0.0,7.0,1.0,0.23,0.0,0.23,0.23,0.23,0.06,0.0,0.06,0.06,0.06
1260,Christopher Jullien,fr FRA,DF,Montpellier,fr Ligue 1,30.0,1993.0,20,13,1233,13.7,1,0,1,1,0,0,5,0,1.1,1.1,0.1,1.2,1.0,26.0,4.0,0.07,0.0,0.07,0.07,0.07,0.08,0.0,0.09,0.08,0.09
1261,Anthony Jung,de GER,DF,Werder Bremen,de Bundesliga,31.0,1991.0,31,30,2579,28.7,1,0,1,1,0,0,4,1,0.6,0.6,0.3,1.0,24.0,107.0,21.0,0.03,0.0,0.03,0.03,0.03,0.02,0.01,0.03,0.02,0.03
1263,Hamed Junior Traorè,ci CIV,MF,Bournemouth,eng Premier League,23.0,2000.0,3,0,47,0.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.34,0.07,0.41,0.34,0.41
1264,Hamed Junior Traorè,ci CIV,MF,Napoli,it Serie A,23.0,2000.0,9,5,382,4.2,0,0,0,0,0,0,1,0,0.9,0.9,0.7,1.6,12.0,21.0,19.0,0.0,0.0,0.0,0.0,0.0,0.2,0.17,0.37,0.2,0.37
1267,David Jurásek,cz CZE,DF,Hoffenheim,de Bundesliga,22.0,2000.0,13,4,496,5.5,0,1,1,0,0,0,1,0,0.2,0.2,1.0,1.1,12.0,12.0,38.0,0.0,0.18,0.18,0.0,0.18,0.03,0.18,0.21,0.03,0.21
1268,Julian Justvan,de GER,"FW,MF",Hoffenheim,de Bundesliga,25.0,1998.0,4,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07
1269,Julian Justvan,de GER,"MF,FW",Darmstadt 98,de Bundesliga,25.0,1998.0,14,11,1023,11.4,2,2,4,2,0,0,1,0,0.9,0.9,2.5,3.4,20.0,56.0,50.0,0.18,0.18,0.35,0.18,0.35,0.08,0.22,0.3,0.08,0.3
1270,Filip Jørgensen,dk DEN,GK,Villarreal,es La Liga,21.0,2002.0,36,36,3240,36.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1271,Mathias Jørgensen,dk DEN,DF,Brentford,eng Premier League,33.0,1990.0,14,12,1087,12.1,1,0,1,1,0,0,4,0,0.7,0.7,0.9,1.7,5.0,50.0,4.0,0.08,0.0,0.08,0.08,0.08,0.06,0.08,0.14,0.06,0.14
1272,Mohamed Kaba,fr FRA,MF,Lecce,it Serie A,21.0,2001.0,23,15,1378,15.3,0,0,0,0,0,0,4,1,1.2,1.2,0.9,2.0,14.0,60.0,32.0,0.0,0.0,0.0,0.0,0.0,0.08,0.06,0.13,0.08,0.13
1273,Sory Kaba,gn GUI,FW,Las Palmas,es La Liga,28.0,1995.0,17,9,720,8.0,1,1,2,1,0,0,2,0,1.5,1.5,0.3,1.8,7.0,12.0,36.0,0.12,0.12,0.25,0.12,0.25,0.18,0.04,0.23,0.18,0.23
1274,Ozan Kabak,tr TUR,DF,Hoffenheim,de Bundesliga,23.0,2000.0,28,28,2282,25.4,4,0,4,4,0,0,11,1,2.2,2.2,1.1,3.3,21.0,110.0,11.0,0.16,0.0,0.16,0.16,0.16,0.09,0.04,0.13,0.09,0.13
1275,Christian Kabasele,be BEL,DF,Udinese,it Serie A,32.0,1991.0,13,10,861,9.6,1,1,2,1,0,0,5,0,1.2,1.2,0.5,1.6,7.0,22.0,1.0,0.1,0.1,0.21,0.1,0.21,0.12,0.05,0.17,0.12,0.17
1276,Issa Kaboré,bf BFA,DF,Luton Town,eng Premier League,22.0,2001.0,24,21,1729,19.2,0,2,2,0,0,0,7,0,0.2,0.2,2.1,2.3,60.0,54.0,85.0,0.0,0.1,0.1,0.0,0.1,0.01,0.11,0.12,0.01,0.12
1277,Abdoul Kader Bamba,fr FRA,"FW,MF",Nantes,fr Ligue 1,29.0,1994.0,23,1,611,6.8,2,1,3,2,0,0,2,0,2.1,2.1,1.0,3.2,41.0,31.0,73.0,0.29,0.15,0.44,0.29,0.44,0.31,0.15,0.46,0.31,0.46
1278,Yaya Kader Fofana,ml MLI,"MF,DF",Reims,fr Ligue 1,19.0,2004.0,4,0,32,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.23,0.23,0.23
1280,Tino Kadewere,zw ZIM,"FW,MF",Lyon,fr Ligue 1,27.0,1996.0,11,2,296,3.3,0,0,0,0,0,0,0,0,0.7,0.7,0.3,0.9,4.0,12.0,28.0,0.0,0.0,0.0,0.0,0.0,0.2,0.09,0.28,0.2,0.28
1282,Kaiky,br BRA,DF,Almería,es La Liga,19.0,2004.0,8,5,523,5.8,1,0,1,1,0,0,2,0,0.2,0.2,0.0,0.3,4.0,24.0,1.0,0.17,0.0,0.17,0.17,0.17,0.04,0.0,0.04,0.04,0.04
1284,Sasa Kalajdzic,at AUT,FW,Wolves,eng Premier League,26.0,1997.0,11,1,166,1.8,2,0,2,2,0,0,0,0,1.1,1.1,1.0,2.0,1.0,5.0,9.0,1.08,0.0,1.08,1.08,1.08,0.57,0.52,1.09,0.57,1.09
1285,Sasa Kalajdzic,at AUT,FW,Eint Frankfurt,de Bundesliga,26.0,1997.0,5,5,325,3.6,0,1,1,0,0,0,0,0,0.2,0.2,0.5,0.7,1.0,8.0,9.0,0.0,0.28,0.28,0.0,0.28,0.05,0.14,0.19,0.05,0.19
1287,Yayah Kallon,sl SLE,FW,Hellas Verona,it Serie A,22.0,2001.0,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
